store_id,uptime_last_hour_mins,uptime_last_day_hrs,uptime_last_week_hrs,downtime_last_hour_mins,downtime_last_day_hrs,downtime_last_week_hrs
8419537941919820732,0,0,0,60,24,169
54515546588432327,0,5,15,60,19,154
8377465688456570187,0,0,0,60,24,169
5955337179846162144,0,0,0,60,24,169
1169347689335808384,0,0,0,60,24,169
3739729523266121270,0,0,7,60,24,162
4430370444829587327,0,0,0,60,24,169
1912555533282230523,0,0,0,60,24,169
5489547402882838709,0,0,0,60,24,169
759601765366096871,0,8,140,60,16,29
5627904252074297008,0,3,8,60,21,161
2651685499613063745,0,0,0,60,24,169
5043046815492880667,0,4,79,60,20,90
2367299134091594697,0,0,65,60,24,104
6613902849003357359,0,0,19,60,24,150
1396650693591399695,0,0,4,60,24,165
837699569013981799,0,0,0,60,24,169
2057963137235512954,0,8,81,60,16,88
6108568838704593560,0,18,91,60,6,78
7815590034868021689,0,0,0,60,24,169
7493928216510270665,0,15,88,60,9,81
7961038966240415760,0,0,9,60,24,160
605803287923472894,0,0,0,60,24,169
5278384915350904550,0,9,22,60,15,147
8494749731668571682,0,2,15,60,22,154
4858828967449392712,0,0,2,60,24,167
7555752115160416405,0,0,0,60,24,169
8625022238145771938,0,0,0,60,24,169
4159147177864939740,0,0,0,60,24,169
8157355919956132858,0,0,0,60,24,169
3595154674145356045,0,0,0,60,24,169
5693932324957995427,0,0,5,60,24,164
8631502755712457479,0,10,21,60,14,148
7369215549436595643,0,10,20,60,14,149
5733393565264082443,0,0,0,60,24,169
4681743429609749121,0,0,0,60,24,169
2567728765809290933,0,0,0,60,24,169
284239040495575980,0,0,0,60,24,169
6656463669299127947,0,0,0,60,24,169
9184109988854973601,0,0,0,60,24,169
6031574077635056029,0,0,0,60,24,169
9111813718630350474,0,0,0,60,24,169
8750493480383302874,0,0,0,60,24,169
3048405945625600463,0,0,0,60,24,169
3983786718839842887,0,0,0,60,24,169
5047154360023757128,0,0,42,60,24,127
7933946190613920010,0,18,20,60,6,149
379226339704530410,0,12,14,60,12,155
1253356761818562621,0,15,17,60,9,152
4755926456158904833,0,21,27,60,3,142
8803894796084290585,0,0,0,60,24,169
6836033035108373086,0,0,0,60,24,169
2639750514662973687,0,0,0,60,24,169
1040732551176103056,0,3,3,60,21,166
8304911926566338483,0,0,0,60,24,169
3361278033591045661,0,20,20,60,4,149
2601623541509400542,0,0,0,60,24,169
8207758013351082541,0,3,3,60,21,166
4249300502744464539,0,0,0,60,24,169
881974164067848799,0,0,0,60,24,169
4031771205466256346,0,0,0,60,24,169
8117247589549708019,0,0,0,60,24,169
5223121655148958959,0,0,0,60,24,169
5281145666427062582,0,0,0,60,24,169
7103249743888768279,0,0,0,60,24,169
6937872202603482963,0,0,0,60,24,169
4359897525988670130,0,0,0,60,24,169
8668949117244880140,0,17,17,60,7,152
329697652999698776,60,20,20,0,4,149
2873839205725435068,0,0,0,60,24,169
1634983772484395625,0,0,106,60,24,63
8754037299794781932,0,0,0,60,24,169
8478659457975884995,0,0,0,60,24,169
3173528025538718452,0,0,0,60,24,169
1172776965412058288,0,0,0,60,24,169
8050904836920798206,0,0,0,60,24,169
3485383537492459194,0,0,0,60,24,169
7791569942019889767,0,5,5,60,19,164
7647796266115725856,0,0,0,60,24,169
7372385631979013974,0,0,0,60,24,169
1886094822273762805,0,4,4,60,20,165
1921227243936268124,0,2,2,60,22,167
2670800031826856367,0,0,0,60,24,169
2529970021684233025,0,0,61,60,24,108
3390153829311738919,0,0,37,60,24,132
2723172216807087715,0,0,0,60,24,169
3457174951287490032,0,4,125,60,20,44
1557691556894768738,0,0,48,60,24,121
4395688375231610603,0,4,4,60,20,165
3480535111316179789,0,0,0,60,24,169
8080175208160124283,0,0,0,60,24,169
4894791864539115200,0,0,0,60,24,169
6529727365761998945,0,0,0,60,24,169
2937297056410899541,0,0,0,60,24,169
7257064183173214729,0,0,0,60,24,169
3151529852031249810,0,0,0,60,24,169
8258804424046746943,0,0,0,60,24,169
6614523831540505463,0,0,0,60,24,169
1826435698432426239,0,0,19,60,24,150
4333246355539626670,0,0,12,60,24,157
